Название,Производитель,Содержание,Количество на складе,Цена,Ссылка,Ссылка на изображение
Достинекс таблетки 2 шт,"Пфайзер+, ИталияКаберголин",Каберголин,None,1 113 ₽,https://366.ru/p/dostineks-tab-0-5mg-2-30108/,https://media.366.ru/sys_master/product/ha3/h13/8818083921950.jpg
Депантол суппозитории вагинальные 10 шт,"НИЖФАРМ, РоссияДекспантенол + Хлоргексидин",Декспантенол + Хлоргексидин,None,785 ₽,https://366.ru/p/depantol-supp-vag-10-30195/,https://media.366.ru/sys_master/product/hc6/hee/10106779238430.png
Хлое таблетки 84 шт,"САНОФИ, ЧехияЦипротерон + Этинилэстрадиол",Ципротерон + Этинилэстрадиол,None,1 983 ₽,https://366.ru/p/khloe-tab-pl-ob-28-21tab-7tab-placebo-3-30513/,https://media.366.ru/sys_master/product/h6a/ha9/8817583587358.jpg
Климен драже N21,"АЛВОГЕН, ФранцияЦипротерон + Эстрадиол",Ципротерон + Эстрадиол,None,1 515 ₽,https://366.ru/p/klimen-dr-21-30969/,https://media.366.ru/sys_master/product/h13/h2e/8820716044318.jpg
Макмирор таблетки 200 мг 20 шт,"СИ ЭС СИ ЛТД, ИталияНифурател",Нифурател,None,1 318 ₽,https://366.ru/p/makmiror-tab-p-o-200mg-20-31172/,https://media.366.ru/sys_master/product/h43/hf8/8817588699166.jpg
Гинестрил таблетки 30 шт,Мифепристон,Мифепристон,None,6 844 ₽,https://366.ru/p/ginestril-tab-50mg-30-31405/,https://media.366.ru/sys_master/product/h21/ha8/8818388992030.jpg
Пимафуцин суппозитории вагинальные 100 мг 3 шт,"ЛЕО ФАРМА, ИталияНатамицин",Натамицин,None,287 ₽,https://366.ru/p/pimafucin-supp-vag-100mg-3-31439/,https://media.366.ru/sys_master/product/hed/h3e/8816184852510.jpg
Джес таблетки 28 шт,"БАЙЕР, ГерманияДроспиренон + Этинилэстрадиол",Дроспиренон + Этинилэстрадиол,None,1 399 ₽,https://366.ru/p/dzhes-tab-p-pl-ob-28-31436/,https://media.366.ru/sys_master/product/hef/hc0/8816184492062.jpg
Полижинакс Вирго вагинальные капсулы N6,"Innothera Chouzy, ФранцияНеомицин + Нистатин + Полимиксин B",Неомицин + Нистатин + Полимиксин B,None,565 ₽,https://366.ru/p/polizhinaks-virgo-vag-kaps-6-31702/,https://media.366.ru/sys_master/product/ha0/h7d/8818497257502.jpg
Эпиген Интим аэрозоль 15 мл,"ИНВАР, ИспанияАммония глицирризинат",Аммония глицирризинат,None,1 635 ₽,https://366.ru/p/epigen-intim-sprej-0-1-15ml-32372/,https://media.366.ru/sys_master/product/h4f/h0a/8834874605598.jpg
Клиндацин суппозитории вагинальные 3 шт,"АКРИХИН, РоссияКлиндамицин",Клиндамицин,None,733 ₽,https://366.ru/p/klindacin-supp-vagin-100mg-3-32685/,https://media.366.ru/sys_master/product/he0/h97/8816214835230.jpg
Клиндамицин-Верте вагинальные крем 2% 20г,"ВЕРТЕКС, РоссияКлиндамицин",Клиндамицин,None,591 ₽,https://366.ru/p/klindamicinverte-vag-krem-2-20g-33217/,https://media.366.ru/sys_master/product/hc5/h69/8818483265566.jpg
"Агалатес таблетки 0,5 мг 8 шт","ТЕВА, ЧехияКаберголин",Каберголин,None,1 854 ₽,https://366.ru/p/agalates-tab-0-5mg-8-33382/,https://media.366.ru/sys_master/product/h6a/h22/8815063695390.jpg
