Название,Производитель,Содержание,Количество на складе,Цена,Ссылка,Ссылка на изображение
"Кровохлебка корневища с корнями фильтр-пакет 1,5 г 20 шт","ЕВРОПЛАНТ, РоссияКровохлебки корневища с корнями",Кровохлебки корневища с корнями,None,115 ₽,https://366.ru/p/krovokhlebki-kshha-i-korni-f-p-1-5g-20-25167/,https://media.366.ru/sys_master/product/h96/hc8/9718565371934.png
Боярышника плоды фильтр-пакет 3 г 20 шт,"ЕВРОПЛАНТ, РоссияБоярышника плоды",Боярышника плоды,None,91 ₽,https://366.ru/p/bojaryshnika-plody-f-p-3g-20-25164/,https://media.366.ru/sys_master/product/hd9/h6b/9718564454430.png
Бруснивер сбор фильтр-пакет 2 г 20 шт,"ЕВРОПЛАНТ, РоссияБрусники листья + Зверобоя продырявленного трава",Брусники листья + Зверобоя продырявленного трава,None,178 ₽,https://366.ru/p/brusniver-sbor-f-p-2g-20-25171/,https://media.366.ru/sys_master/product/h07/h8f/9718566748190.png
Шиповника плоды фильтр-пакет 2 г 20 шт,"ЕВРОПЛАНТ, РоссияШиповника плоды",Шиповника плоды,None,141 ₽,https://366.ru/p/shipovnika-plody-f-p-2-0g-20-25178/,https://media.366.ru/sys_master/product/h88/h3c/9718567665694.png
Элекасол сбор фильтр-пакет 2 г 20 шт,"ЕВРОПЛАНТ, РоссияКалендулы лекарственной цветки + Ромашки аптечной цветки",Календулы лекарственной цветки + Ромашки аптечной цветки,None,162 ₽,https://366.ru/p/elekasol-sbor-f-p-2g-20-25173/,https://media.366.ru/sys_master/product/h2a/hd6/9718567206942.png
"Вечерняя сказка чайный напиток фильтр-пакет 1,5 г 20 шт","Красногорсклексредства, РоссияМяты перечной листья + Лаванда колосовая + Укропа аптечного плоды + Аниса плоды",Мяты перечной листья + Лаванда колосовая + Укропа аптечного плоды + Аниса плоды,None,162 ₽,https://366.ru/p/napit-chajn-vechernjaja-skazka-f-p-1-5g-20-25294/,https://media.366.ru/sys_master/product/hf4/hf3/9718568124446.jpg
Валерианы корневища с корнями Красногорск 50г,"ЕВРОПЛАНТ, РоссияВалерианы лекарственной корневища с корнями",Валерианы лекарственной корневища с корнями,None,135 ₽,https://366.ru/p/valeriany-kshha-s-korn-50g-25577/,https://media.366.ru/sys_master/product/hf7/ha3/8818908364830.jpg
Кукуруза столбики с рыльцами 50 г Здоровье,"ЗДОРОВЬЕ, РоссияКукурузы столбики с рыльцами",Кукурузы столбики с рыльцами,None,135 ₽,https://366.ru/p/kukuruzn-stolbiki-s-rylcami-50g-25609/,https://media.366.ru/sys_master/product/h25/h0d/8817532665886.jpg
Чага 50 г,"ЗДОРОВЬЕ, РоссияГриб березовый",Гриб березовый,None,149 ₽,https://366.ru/p/chaga-50g-25641/,https://media.366.ru/sys_master/product/he9/h05/8818471108638.jpg
"Пижма цветки фильтр-пакет 1,5 г 20 шт","ЕВРОПЛАНТ, РоссияПижмы обыкновенной цветки",Пижмы обыкновенной цветки,None,129 ₽,https://366.ru/p/pizhmy-cvetki-f-p-1-5g-20-25990/,https://media.366.ru/sys_master/product/hac/h88/9718569500702.png
Сбор урологический (фитонефрол) фильтр-пакет 2 г 20 шт,"ЕВРОПЛАНТ, РоссияКалендулы лекарственной цветки + Мяты перечной листь",Календулы лекарственной цветки + Мяты перечной листь,None,170 ₽,https://366.ru/p/fitonefrol-f-p-2g-20-urologicheskij-sbor-26508/,https://media.366.ru/sys_master/product/hf9/ha7/9718570876958.png
Желудочно-кишечный сбор (фитогастрол) 50 г,"ЕВРОПЛАНТ, РоссияАира корневище + Мяты перечной листья + Ромашки цветки",Аира корневище + Мяты перечной листья + Ромашки цветки,None,145 ₽,https://366.ru/p/fitogastrol-50g-zheludochnkishechn-sbor-26506/,https://media.366.ru/sys_master/product/hfc/hf9/9718569959454.png
Сбор успокоительный №3 (фитоседан) 50 г,"ЕВРОПЛАНТ, Россия",None,None,104 ₽,https://366.ru/p/fitosedan-3-50g-uspokoitelnyj-sbor-26507/,https://media.366.ru/sys_master/product/h1d/hbc/9718570418206.png
